First process instance # in stats,1
Last process instance # in stats,123

Resource utilization
Resource,Utilization %
glazing_machine,glazing_machine,0
testing_machine,testing_machine,0
casting_machine,casting_machine,5
scelta_machine,scelta_machine,0
finishing_machine,finishing_machine,0
baking_machine,baking_machine,15
System,System,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
COLAGGIO VsVS55N,pid_1.Activity_1lf28nx,2366.6439756097566,2366.129,2367.122,291097.20900000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.210010590108393,18.20604813888889,18.213688722222223,2239.831302583332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
COLLAUDO VsVS55N,pid_1.Activity_0han9pq,12.5,12.5,12.5,1537.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08645833333333336,0.08645833333333333,0.08645833333333333,10.634375000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
COTTURA VsVS55N,pid_1.Activity_1wzc226,3186.8510569105697,2270.0,7333.085,391982.68000000005,916.8510569052968,0.0,5063.085000038147,112772.6799993515,0.0,0.0,0.0,0.0,18.128472222222186,18.12847222222222,18.12847222222222,2229.802083333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
Order Processed,pid_1.Event_1mzltrf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
Order Received,pid_1.StartEvent_1uwiwpx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
RIFINITURA VsVS55N,pid_1.Activity_065nyvi,14.0,14.0,14.0,1722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
SCELTA VsVS55N,pid_1.Activity_0bt9jmx,3.5,3.5,3.5,430.5,0.0,0.0,0.0,0.0,1580.5302520325201,0.0,194405.221,194405.221,0.022847222222222175,0.022847222222222224,0.022847222222222224,2.8102083333333274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
SPRUZZO VsVS55N,pid_1.Activity_0hl65wb,11.5,11.5,11.5,1414.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07794444444444439,0.07794444444444444,0.07794444444444444,9.58716666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123

Scenario statistics
KPI,Min,Average,Max
