Timestamp,Phase,Semi-finished,Series,Figure,Finished,Model,StampID,ItemID
4/7/2021 14:38,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1247532
4/10/2021 6:04,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1247533
4/10/2021 7:59,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1307684
4/10/2021 15:44,Baking,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1247533
4/10/2021 15:58,Baking,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1307684
4/11/2021 6:42,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1247534
4/11/2021 6:57,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1247535
4/11/2021 11:19,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1310325
4/12/2021 6:10,Baking,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1310325
4/15/2021 18:59,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,891278P             
4/28/2021 13:20,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1247528
4/28/2021 14:09,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1247527
4/29/2021 7:55,Baking,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1247527
7/8/2021 15:52,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1382446
7/26/2021 12:13,Testing,SE3331049           ,333,1049,1VPZN00             ,VPZN                ,,1382557
2/26/2021 6:04,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005658
2/26/2021 6:08,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005656
2/26/2021 6:10,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005638
2/26/2021 6:13,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005660
2/26/2021 6:15,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005636
2/26/2021 6:18,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005644
2/26/2021 6:20,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005664
2/26/2021 6:23,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005650
2/26/2021 6:25,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005640
2/26/2021 6:28,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005642
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005658
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005656
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005638
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005660
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005636
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005642
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005640
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005650
2/26/2021 6:48,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005664
2/26/2021 6:49,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005644
2/26/2021 11:59,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005650
2/26/2021 11:59,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005664
2/26/2021 12:00,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005644
2/26/2021 12:00,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005640
2/26/2021 12:00,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005642
2/26/2021 12:00,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005636
2/26/2021 12:00,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005660
2/26/2021 12:00,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005638
2/26/2021 12:00,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005656
2/26/2021 12:00,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005658
3/1/2021 5:52,Testing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,1247880
3/1/2021 13:54,Glazing,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,1247880
3/1/2021 21:33,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,1247880
3/29/2021 7:12,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005636
3/29/2021 10:35,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005658
3/29/2021 10:35,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005660
3/29/2021 10:37,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005640
3/29/2021 11:25,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005650
3/30/2021 5:47,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005656
3/30/2021 5:50,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005638
3/30/2021 5:51,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005644
3/30/2021 7:15,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,5005664
3/30/2021 8:02,Baking,SE3331176           ,333,1176,150ZN00             ,50ZN                ,,1247880
1/21/2020 10:29,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,768421
1/21/2020 10:29,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008227         ,768422
1/21/2020 10:29,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,768423
