First process instance # in stats,1
Last process instance # in stats,222

Resource utilization
Resource,Utilization %
glazing_machine,glazing_machine,0
testing_machine,testing_machine,0
casting_machine,casting_machine,3
scelta_machine,scelta_machine,0
finishing_machine,finishing_machine,0
baking_machine,baking_machine,14
System,System,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
COLAGGIO VMoMPZN,pid_1.Activity_1lf28nx,2366.647117117118,2365.975,2367.123,525395.6600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.21003476226226,18.204863194444442,18.213696416666668,4042.627717222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
COLLAUDO VMoMPZN,pid_1.Activity_0han9pq,12.5,12.5,12.5,2775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08645833333333315,0.08645833333333333,0.08645833333333333,19.19374999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
COTTURA VMoMPZN,pid_1.Activity_1wzc226,2797.0730405405416,2270.0,6247.845,620950.2150000002,527.0730405498196,0.0,3977.8449993133545,117010.21500205994,0.0,0.0,0.0,0.0,18.12847222222218,18.12847222222222,18.12847222222222,4024.520833333324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
Order Processed,pid_1.Event_1mzltrf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
Order Received,pid_1.StartEvent_1uwiwpx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
RIFINITURA VMoMPZN,pid_1.Activity_0jcyfrc,14.0,14.0,14.0,3108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
SCELTA VMoMPZN,pid_1.Activity_0bt9jmx,3.5,3.5,3.5,777.0,0.0,0.0,0.0,0.0,875.7009549549549,0.0,194405.612,194405.612,0.0228472222222222,0.022847222222222224,0.022847222222222224,5.072083333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
SPRUZZO VMoMPZN,pid_1.Activity_0yj02j5,11.5,11.5,11.5,2553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07794444444444439,0.07794444444444444,0.07794444444444444,17.303666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222

Scenario statistics
KPI,Min,Average,Max
